"STN
Code",Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max),Predicted Water Quality
4368.0,0,0,24.0,27.0,3.2,6.5,7.0,8.0,245,5160,1.6,3.2,1.02,3.60,9,21,120,210,Poor
2353.0,0,0,26.0,29.0,3.0,6.8,6.9,7.8,599,1179,1.9,4.6,0.77,3.56,15,23,150,240,Poor
1790.0,0,0,18.0,24.0,4.2,6.0,7.2,8.2,28000,56900,2.4,2.8,1.20,1.64,3,3,47,150,Poor
4391.0,2,0,22.0,29.0,5.4,6.2,6.3,7.9,180,476,1.0,2.5,0.34,2.30,24,365,170,549,Poor
4921.0,3,0,21.0,30.0,5.4,6.5,7.3,8.0,496,734,1.0,2.3,0.35,1.00,43,289,240,727,Poor
4936.0,3,0,22.0,23.0,6.8,7.5,7.1,9.0,158,320,1.2,2.2,0.42,1.79,3,4,63,150,Good
4919.0,3,0,20.0,29.0,5.1,6.4,7.1,7.9,381,608,1.0,2.2,0.32,0.67,45,322,210,602,Poor
4926.0,3,0,22.0,31.0,4.2,7.3,7.1,8.5,274,18950,1.5,2.5,0.38,2.82,4,15,2,150,Average
4931.0,3,0,27.0,31.0,4.5,7.2,7.1,8.6,12230,56900,1.4,3.6,0.63,2.86,4,15,64,120,Poor
4917.0,3,0,21.0,30.0,3.8,5.8,6.6,8.1,802,1326,2.2,3.5,1.08,4.51,191,659,540,1120,Poor
4934.0,3,0,25.0,26.0,6.1,7.5,7.3,7.9,16170,26800,2.4,2.8,1.12,1.80,3,3,63,150,Poor
4918.0,3,0,23.0,30.0,4.3,5.6,6.8,8.1,733,1303,1.8,3.2,0.65,2.91,170,525,430,1120,Poor
4933.0,3,0,24.0,28.0,5.1,6.2,7.1,8.0,24000,34500,2.4,2.8,1.03,1.81,3,3,71,150,Poor
4916.0,3,0,21.0,27.0,5.3,6.3,7.0,7.9,346,560,1.0,1.7,0.33,2.57,84,376,220,659,Poor
4925.0,3,0,22.0,32.0,2.0,8.0,7.2,8.3,330,58500,1.8,4.1,1.00,6.16,7,28,2,1100,Poor
4930.0,3,0,24.0,30.0,5.8,8.0,6.8,8.2,460,1340,1.5,4.1,0.32,1.92,4,21,64,210,Average
4924.0,3,0,22.0,32.0,3.5,8.5,6.9,8.6,271,53100,1.5,22.0,1.02,3.87,9,23,120,460,Poor
4915.0,3,0,23.0,28.0,4.6,6.1,7.1,8.1,931,1702,1.8,3.0,0.42,2.94,180,629,430,1046,Poor
4928.0,3,0,26.0,32.0,0.3,7.5,6.6,7.7,620,1450,1.9,54.0,1.96,6.09,21,39,240,2400,Poor
4923.0,3,0,22.0,27.0,5.1,6.4,6.8,7.9,357,1210,1.2,2.7,0.38,2.34,41,356,220,840,Poor
4920.0,3,0,21.0,29.0,5.2,6.5,7.2,7.9,480,795,1.0,1.8,0.34,0.94,25,373,240,594,Poor
4927.0,3,0,25.0,32.0,4.1,8.0,7.0,8.2,216,392,1.2,2.4,0.34,2.29,3,4,39,75,Average
4929.0,3,0,25.0,29.0,2.3,8.0,7.0,8.0,730,39600,1.8,5.8,0.46,3.02,4,15,49,150,Poor
4935.0,3,0,21.0,24.0,6.4,7.6,7.0,8.4,641,937,2.6,4.4,1.27,4.52,3,4,150,2400,Poor
4932.0,3,0,23.0,28.0,2.2,8.2,7.1,8.0,185,1175,1.4,2.8,0.42,2.29,4,7,43,93,Poor
3785.0,0,1,24.0,24.0,1.0,1.0,7.7,7.8,278,282,2.3,2.4,1.00,1.00,2,2,2,2,Poor
3789.0,0,1,22.0,26.0,3.8,8.5,7.0,7.7,179,208,2.0,2.7,0.60,1.20,300,910,1400,2000,Poor
3820.0,0,1,21.0,32.0,0.3,6.3,7.3,7.8,452,470,23.6,29.2,2.00,2.80,2300,3900,4400,6400,Poor
2206.0,0,1,24.0,36.0,4.5,5.5,7.0,7.8,66,81,1.6,2.6,0.70,1.10,300,730,610,1500,Poor
2218.0,0,1,21.0,31.0,4.6,10.8,7.2,7.8,156,288,2.0,5.0,0.60,2.00,300,730,1100,1600,Poor
1529.0,0,1,20.0,31.0,4.2,10.8,7.2,7.8,150,291,2.2,5.2,0.80,1.80,300,730,910,1600,Poor
3821.0,0,1,22.0,34.0,4.2,5.5,7.0,7.6,64,98,2.0,2.9,0.70,1.40,300,730,910,1600,Poor
3787.0,0,1,22.0,25.0,4.2,8.4,7.0,7.6,84,130,2.0,2.8,0.60,0.90,300,730,910,1500,Poor
4337.0,0,1,20.0,35.0,5.4,7.6,6.8,7.6,53,85,1.9,2.5,0.70,1.20,300,360,360,910,Poor
3812.0,0,1,21.0,27.0,0.3,3.8,7.2,7.8,1046,1150,25.2,30.4,2.20,3.40,360,1400,910,2700,Poor
3800.0,0,1,20.0,25.0,4.0,6.2,7.0,7.7,126,164,2.1,2.8,0.60,1.00,300,610,610,1600,Poor
2205.0,0,1,22.0,25.0,4.0,7.8,7.2,8.0,136,161,2.3,2.8,0.80,1.10,300,720,910,2000,Poor
3808.0,0,1,20.0,30.0,5.8,10.2,7.0,7.6,120,152,2.2,2.8,0.60,1.20,300,930,910,2000,Poor
3798.0,0,1,19.0,34.0,4.0,7.1,7.0,7.5,118,143,2.0,2.9,0.60,1.10,300,730,720,2000,Poor
3814.0,0,1,20.0,33.0,0.3,1.4,7.1,7.6,511,532,14.0,19.0,1.20,2.60,1400,2300,2700,4300,Poor
3804.0,0,1,21.0,25.0,4.0,4.3,6.8,7.5,123,158,2.2,2.8,0.60,1.20,300,910,730,2100,Poor
3819.0,0,1,21.0,32.0,0.3,6.7,7.0,8.0,462,486,24.6,29.4,2.00,2.80,2600,3600,4200,5300,Poor
2225.0,1,1,18.0,24.0,4.2,4.8,7.2,7.5,101,130,2.1,2.6,0.60,1.20,300,910,1100,2000,Poor
2219.0,1,1,20.0,27.0,4.5,10.0,7.0,7.6,210,242,2.0,2.6,1.00,1.30,300,2300,730,4300,Poor
2207.0,1,1,21.0,25.0,4.0,7.0,7.2,7.8,200,297,2.0,2.8,0.60,1.10,300,730,610,1500,Poor
3772.0,1,1,18.0,33.0,5.8,7.4,6.8,8.0,68,111,2.0,2.6,0.60,1.10,300,360,360,1100,Poor
2208.0,1,1,19.0,34.0,5.6,7.6,6.9,7.7,56,96,2.0,2.5,0.70,1.10,300,360,300,910,Poor
2214.0,1,1,20.0,30.0,4.0,6.2,7.2,7.6,63,88,2.0,2.8,0.80,1.10,300,730,730,1500,Poor
2220.0,1,1,22.0,32.0,4.6,10.3,7.2,7.7,83,108,2.1,2.6,0.70,1.10,300,730,720,1500,Poor
2216.0,1,1,20.0,35.0,4.2,11.2,7.1,7.7,218,321,2.3,3.0,1.00,1.80,360,730,910,2000,Poor
1263.0,1,1,19.0,29.0,4.0,6.8,7.0,7.6,206,882,2.2,2.8,0.80,1.30,300,910,730,2100,Poor
2228.0,1,1,20.0,30.0,6.8,9.2,7.3,7.8,63,103,2.1,2.5,0.70,1.10,300,720,720,1500,Poor
2221.0,1,1,21.0,27.0,4.5,10.2,7.0,7.8,70,89,1.8,2.8,0.60,1.10,300,730,610,1500,Poor
2209.0,1,1,20.0,36.0,4.8,7.0,6.4,7.6,65,83,1.3,2.7,0.70,1.40,2,730,360,1500,Poor
2212.0,1,1,20.0,32.0,6.8,7.6,7.4,7.8,101,119,2.3,2.6,0.60,1.20,300,360,620,1500,Poor
2227.0,1,1,18.0,32.0,5.6,7.2,6.7,7.4,64,77,1.8,2.7,0.80,1.10,300,360,360,910,Poor
2213.0,1,1,22.0,31.0,7.0,8.0,7.2,8.0,89,210,2.2,2.8,0.80,1.10,300,720,730,1400,Poor
3809.0,1,1,20.0,35.0,4.5,11.0,7.0,8.0,382,404,2.1,2.9,0.80,1.20,360,910,910,2000,Poor
2223.0,1,1,22.0,36.0,4.0,5.1,7.2,8.0,68,95,1.9,2.6,0.70,1.10,300,910,910,2100,Poor
4006.0,1,1,18.0,35.0,5.0,7.6,6.0,7.9,64,88,1.8,2.6,0.70,1.10,300,360,360,910,Poor
2211.0,1,1,23.0,33.0,7.0,7.8,7.2,7.8,264,304,2.2,2.7,0.80,1.30,300,730,720,1500,Poor
3806.0,1,1,22.0,25.0,4.0,5.4,6.8,7.7,122,179,2.2,2.6,0.70,1.00,300,940,910,1600,Poor
2222.0,1,1,24.0,38.0,4.1,5.7,7.0,7.7,60,80,1.9,2.6,0.70,1.20,300,910,730,2000,Poor
2224.0,1,1,24.0,36.0,4.3,5.6,7.3,7.9,96,126,2.1,2.6,0.70,1.20,300,910,910,2000,Poor
2210.0,1,1,21.0,33.0,5.6,7.8,6.8,7.8,73,109,2.1,2.6,0.60,1.20,300,360,360,910,Poor
2215.0,1,1,21.0,32.0,4.0,7.0,7.0,7.6,75,105,2.0,2.7,0.70,1.10,300,730,720,1500,Poor
2226.0,1,1,20.0,36.0,4.0,7.5,6.6,7.6,66,90,1.8,2.8,0.70,1.10,300,730,360,1500,Poor
2217.0,1,1,19.0,30.0,4.0,8.5,7.3,7.8,218,247,2.0,2.7,0.60,1.10,300,730,720,2100,Poor
4334.0,1,1,19.0,36.0,5.5,7.8,6.8,7.7,71,89,2.0,2.8,0.70,1.10,300,360,360,910,Poor
1532.0,2,1,20.0,36.0,5.5,6.5,6.3,7.6,62,88,1.4,2.6,0.70,1.10,2,300,360,730,Poor
2557.0,0,2,12.0,31.0,1.7,9.2,6.8,7.5,136,360,2.4,4.2,0.15,6.20,780,92000,2300,160000,Poor
2571.0,0,2,20.0,29.0,2.6,22.0,7.2,8.3,390,1080,1.0,16.0,0.06,2.57,680,160000,1100,160000,Poor
4296.0,0,2,12.0,32.0,2.2,18.5,7.6,9.0,444,948,3.7,10.0,0.30,0.50,1700,160000,3300,160000,Poor
2574.0,1,2,18.0,31.0,3.3,16.0,7.1,8.2,427,817,2.3,6.9,0.13,1.65,2200,160000,2600,160000,Poor
2573.0,1,2,18.0,31.0,5.4,19.6,7.4,8.8,557,1140,2.1,8.0,0.30,1.17,920,160000,1700,160000,Poor
2046.0,0,3,17.0,33.0,7.5,10.3,6.9,8.7,208,295,2.4,3.6,0.50,15.00,5,27000,33,10900000,Poor
3163.0,0,4,24.0,32.0,6.0,6.8,7.1,7.8,,,8.0,16.0,0.64,0.64,2,170,70,170,Poor
3164.0,1,4,21.0,31.0,7.0,7.2,7.1,7.8,,,2.0,2.8,0.59,0.59,10,110,110,170,Poor
3031.0,0,5,32.0,32.0,0.3,1.7,7.6,8.1,6560,6560,40.0,55.0,1.14,2.10,49000,3300000,14000000,14000000,Poor
3476.0,0,5,34.0,34.0,0.3,11.0,8.7,9.1,940,940,64.0,163.0,2.38,2.60,49,980000,79,79,Poor
3030.0,0,5,33.0,33.0,0.3,9.0,8.1,8.3,1194,1194,26.0,57.0,1.01,2.04,49,40000,130,130,Poor
3175.0,0,6,27.0,32.0,4.8,7.9,5.7,7.4,40,140,1.0,1.6,0.32,0.54,2,240,2,540,Poor
3177.0,0,6,27.0,30.0,4.3,8.8,6.3,8.3,99,603,1.0,2.8,0.32,0.39,78,1300,110,3300,Poor
3180.0,0,6,27.0,31.0,1.6,6.7,6.0,7.7,78,195,1.0,2.9,0.32,1.22,130,2300,170,4900,Poor
4408.0,0,6,27.0,33.0,5.9,8.4,6.2,7.4,55,167,1.0,1.9,0.32,0.44,49,3300,140,5400,Poor
2269.0,0,6,28.0,32.0,5.9,8.2,6.2,7.3,39,96,1.0,1.8,0.32,0.32,170,2200,330,2700,Poor
3178.0,0,6,27.0,31.0,2.8,7.7,6.4,7.7,90,177,1.2,3.4,0.32,1.12,45,2700,68,3900,Poor
3176.0,0,6,27.0,32.0,1.2,6.0,6.1,7.8,95,141,1.0,3.8,0.32,0.52,130,2300,230,4900,Poor
3179.0,0,6,28.0,30.0,1.2,4.9,6.5,7.8,196,463,2.5,8.0,0.32,1.18,230,4900,940,7900,Poor
1549.0,0,6,27.5,33.0,6.1,8.1,6.7,8.5,38,139,1.0,1.8,0.32,0.90,2,49,4,79,Poor
1345.0,0,7,27.0,30.0,5.1,8.5,7.6,8.5,365,502,1.0,1.0,0.32,0.39,2,11,17,70,Average
2076.0,0,7,26.0,31.0,6.5,8.5,7.6,8.3,306,508,1.0,1.0,0.30,0.50,2,27,20,70,Good
1973.0,0,7,27.0,29.0,3.5,7.2,7.3,8.0,205,2415,1.0,10.5,0.30,1.30,12,120,46,350,Poor
1344.0,0,7,25.0,30.0,4.1,6.9,7.3,8.4,449,669,2.4,19.0,0.30,1.68,26,920,130,1600,Poor
1977.0,0,7,27.0,35.0,4.7,6.7,7.7,8.5,892,1621,1.5,3.2,0.24,0.72,70,350,280,540,Poor
3198.0,0,7,26.0,33.0,3.4,6.8,7.4,8.5,335,646,1.3,3.2,0.32,1.60,23,140,130,350,Poor
3199.0,0,7,23.0,30.0,5.2,6.4,7.2,8.4,363,690,2.2,2.8,0.33,0.46,5,7,22,28,Average
1343.0,0,7,25.0,30.0,4.8,8.4,8.5,9.1,2571,3999,7.0,22.0,0.32,1.63,33,920,280,1600,Poor
2078.0,0,7,26.0,30.0,5.9,6.9,7.3,8.4,452,3120,1.6,2.5,0.32,0.75,2,170,10,540,Average
1975.0,0,7,18.0,29.0,3.0,4.4,6.8,8.4,358,835,1.0,2.1,0.32,0.60,3,6,6,27,Poor
3197.0,0,7,24.0,29.0,6.4,6.8,7.3,8.6,299,1012,2.0,2.4,0.16,0.43,2,21,2,49,Good
3201.0,0,7,24.0,32.0,4.2,9.2,8.3,9.1,2669,3850,3.0,27.0,0.30,0.72,12,540,63,920,Poor
3200.0,0,7,26.0,30.0,0.3,7.5,8.3,9.0,1838,6138,10.0,59.0,0.16,1.10,94,920,280,1600,Poor
2077.0,0,7,20.0,30.0,6.2,7.6,7.5,8.3,383,773,1.0,1.1,0.01,0.42,2,6,2,33,Good
1972.0,0,7,26.0,30.0,5.0,8.4,7.8,8.8,1290,11480,1.8,24.0,0.32,0.76,33,540,120,920,Poor
1976.0,0,7,23.0,29.0,3.5,6.5,7.2,8.3,314,1020,2.2,2.9,0.33,0.35,2,49,17,130,Poor
1346.0,0,7,26.0,32.0,4.9,7.3,7.6,8.5,800,1136,1.6,4.1,0.32,0.45,46,350,170,540,Poor
3202.0,0,7,26.0,28.0,3.5,5.5,7.3,8.5,430,779,1.8,4.1,0.30,0.91,130,350,240,540,Poor
2079.0,1,7,28.0,31.0,7.0,7.8,7.5,8.4,369,564,1.0,1.9,0.30,0.57,2,17,10,120,Good
1979.0,1,7,20.0,30.0,5.4,8.2,7.3,8.4,413,1038,1.0,2.5,0.04,0.32,2,110,27,280,Average
1971.0,2,7,22.0,35.0,2.6,7.7,7.1,8.5,440,1360,8.0,29.0,0.32,1.04,6,540,50,920,Poor
1349.0,0,8,,,6.2,7.8,7.2,8.0,289,812,3.5,4.5,0.14,2.84,100,14100,100,34800,Poor
1392.0,0,8,,,3.9,7.2,7.6,8.2,329,488,3.2,4.8,0.30,0.88,400,4800,100,12000,Poor
3033.0,0,8,20.4,32.0,6.5,7.2,7.0,7.9,860,1360,4.0,9.0,0.80,3.20,6600,39000,32000,110000,Poor
4857.0,1,8,,,6.3,8.0,7.0,7.8,280,785,3.4,4.6,0.18,0.30,100,11800,100,24000,Poor
1291.0,0,9,14.0,23.0,8.4,9.7,7.2,8.0,187,380,1.0,1.0,0.32,2.14,94,540,280,1600,Poor
2650.0,0,9,4.0,17.0,5.7,7.1,6.1,7.7,62,113,1.0,2.0,0.30,1.90,2,2,31,84,Poor
1292.0,0,9,13.0,26.0,6.0,9.2,7.1,8.2,109,225,1.0,1.0,0.30,1.20,2,2,25,63,Poor
1429.0,0,9,10.0,22.0,6.5,8.9,7.3,8.5,372,625,1.0,2.0,0.32,0.82,26,46,130,350,Poor
